Kenpom.com,Team,Mascot,Conference,Team First season (Div I)
North Carolina Central,North Carolina Central,Eagles,Mid-Eastern Athletic Conference,2009–10
North Dakota,North Dakota,Fighting Hawks,Big Sky Conference,2006–07
North Dakota St.,North Dakota State,Bison,Summit League,2014–15
North Florida,North Florida,Ospreys,Atlantic Sun Conference,2009–10
North Texas,North Texas,Mean Green,Conference USA,2012–13
Northeastern,Northeastern,Huskies,Colonial Athletic Association,2006–07
Northern Arizona,Northern Arizona,Lumberjacks,Big Sky Conference,2012–13
Northern Colorado,Northern Colorado,Bears,Big Sky Conference,2016–17
Northern Illinois,Northern Illinois,Huskies,Mid-American Conference,2011–12
Northern Iowa,Northern Iowa,Panthers,Missouri Valley Conference,2006–07
Northern Kentucky,Northern Kentucky,Norse,Horizon League,2015–16
Northwestern,Northwestern,Wildcats,Big Ten Conference,2013–14
Northwestern St.,Northwestern State,Demons,Southland Conference,1999–2000
Notre Dame,Notre Dame,Fighting Irish,Atlantic Coast Conference,2000–01
Oakland,Oakland,Golden Grizzlies,Horizon League,1984–85
Ohio,Ohio,Bobcats,Mid-American Conference,2014–15
Ohio St.,Ohio State,Buckeyes,Big Ten Conference,2004–05
Oklahoma,Oklahoma,Sooners,Big 12 Conference,2011–12
Oklahoma St.,Oklahoma State,Cowboys,Big 12 Conference,2016–17
Old Dominion,Old Dominion,Monarchs,Conference USA,2013–14
Mississippi,Ole Miss,Rebels,Southeastern Conference,2006–07
Nebraska Omaha,Omaha,Mavericks,Summit League,2011–12
Oral Roberts,Oral Roberts,Golden Eagles,Summit League,1999–2000
Oregon,Oregon,Ducks,Pac-12 Conference,2010–11
Oregon St.,Oregon State,Beavers,Pac-12 Conference,2014–15
Pacific,Pacific,Tigers,West Coast Conference,2016–17
Penn,Penn,Quakers,Ivy League,2015–16
Penn St.,Penn State,Nittany Lions,Big Ten Conference,2011–12
Pepperdine,Pepperdine,Waves,West Coast Conference,2011–12[b]
Pittsburgh,Pittsburgh,Panthers,Atlantic Coast Conference,2016–17
Portland,Portland,Pilots,West Coast Conference,2016–17
Portland St.,Portland State,Vikings,Big Sky Conference,2009–10
Prairie View A&M,Prairie View A&M,Panthers,Southwestern Athletic Conference,2015–16
Presbyterian,Presbyterian,Blue Hose,Big South Conference,2007–08
Princeton,Princeton,Tigers,Ivy League,2011–12
Providence,Providence,Friars,Big East Conference,2011–12
Purdue,Purdue,Boilermakers,Big Ten Conference,2005–06
Quinnipiac,Quinnipiac,Bobcats,Metro Atlantic Athletic Conference,2007–08
Radford,Radford,Highlanders,Big South Conference,2011–12
Rhode Island,Rhode Island,Rams,Atlantic 10 Conference,2012–13
Rice,Rice,Owls,Conference USA,2014–15
Richmond,Richmond,Spiders,Atlantic 10 Conference,2005–06
Rider,Rider,Broncs,Metro Atlantic Athletic Conference,2012–13
Robert Morris,Robert Morris,Colonials,Northeast Conference,2010–11
Rutgers,Rutgers,Scarlet Knights,Big Ten Conference,2016–17
Sacramento St.,Sacramento State,Hornets,Big Sky Conference,2008–09
Sacred Heart,Sacred Heart,Pioneers,Northeast Conference,2013–14
St. Bonaventure,St. Bonaventure,Bonnies,Atlantic 10 Conference,2007–08
St. Francis PA,Saint Francis,Red Flash,Northeast Conference,2012–13
St. Francis NY,St. Francis Brooklyn,Terriers,Northeast Conference,2010–11
St. John's,St. John's,Red Storm,Big East Conference,2015–16
Saint Joseph's,Saint Joseph's,Hawks,Atlantic 10 Conference,1995–96
Saint Louis,Saint Louis,Billikens,Atlantic 10 Conference,2016–17
Saint Mary's,Saint Mary's,Gaels,West Coast Conference,2001–02
Saint Peter's,Saint Peter's,Peacocks,Metro Atlantic Athletic Conference,2006–07
Sam Houston St.,Sam Houston State,Bearkats,Southland Conference,2010–11
Samford,Samford,Bulldogs,Southern Conference,2014–15
San Diego,San Diego,Toreros,West Coast Conference,2015–16
San Diego St.,San Diego State,Aztecs,Mountain West Conference,1999–2000
San Francisco,San Francisco,Dons,West Coast Conference,2016–17
San Jose St.,San Jose State,Spartans,Mountain West Conference,2013–14
Santa Clara,Santa Clara,Broncos,West Coast Conference,2016–17
Savannah St.,Savannah State,Tigers,Mid-Eastern Athletic Conference,2005–06
Seattle,Seattle,Redhawks,Western Athletic Conference,2009–10
Seton Hall,Seton Hall,Pirates,Big East Conference,2010–11
Siena,Siena,Saints,Metro Atlantic Athletic Conference,2013–14
SIU Edwardsville,SIU Edwardsville,Cougars,Ohio Valley Conference,2015–16
SMU,SMU,Mustangs,American Athletic Conference,2016–17
South Alabama,South Alabama,Jaguars,Sun Belt Conference,2013–14
South Carolina,South Carolina,Gamecocks,Southeastern Conference,2012–13
South Carolina St.,South Carolina State,Bulldogs,Mid-Eastern Athletic Conference,2012–13
USC Upstate,South Carolina Upstate,Spartans,Atlantic Sun Conference,2002–03
South Dakota,South Dakota,Coyotes,Summit League,2014–15
South Dakota St.,South Dakota State,Jackrabbits,Summit League,2016–17
South Florida,South Florida,Bulls,American Athletic Conference,2014–15
Southeast Missouri St.,Southeast Missouri State,Redhawks,Ohio Valley Conference,2015–16
Southeastern Louisiana,Southeastern Louisiana,Lions,Southland Conference,2014–15
Southern,Southern,Jaguars,Southwestern Athletic Conference,2011–12
Southern Illinois,Southern Illinois,Salukis,Missouri Valley Conference,2012–13
Southern Miss,Southern Miss,Golden Eagles,Conference USA,2014–15
Southern Utah,Southern Utah,Thunderbirds,Big Sky Conference,2016–17
Stanford,Stanford,Cardinal,Pac-12 Conference,2016–17
Stephen F. Austin,Stephen F. Austin,Lumberjacks,Southland Conference,2016–17
Stetson,Stetson,Hatters,Atlantic Sun Conference,2013–14
Stony Brook,Stony Brook,Seawolves,America East Conference,2016–17
Syracuse,Syracuse,Orange,Atlantic Coast Conference,1976–77
TCU,TCU,Horned Frogs,Big 12 Conference,2016–17
Temple,Temple,Owls,American Athletic Conference,2006–07
Tennessee,Tennessee,Volunteers,Southeastern Conference,2015–16
